ID Ã©chantillon,Date de prÃ©lÃ¨vement,Pays,Continent,Voyage,Lieu prÃ©cis,Latitude,Longitude,Notes
"S-0001","","Algérie","","","",32.14256,38.435668,""
"S-0002","","Arabie saoudite","","","",89.12457,78.25634,""
"S-0003","","Arabie saoudite","","","",32.145876,34.236579,""
"S-0004","","Algérie","","","",55.231457,54.321567,""
"S-0005","","Érythrée","","","",12.325687,19.235222,""
"","23/09/2026","France","","","Tour Eiffel",48.858093,2.294694,""
"","","","","","",22.321555,21.325444,""
"","","","","","",12.232323,14.121212,""
"","","","","","",24.235555,24.325525,""
"","","","","","",22.23254,21.21111,""
"ZZ-901","2026-09-01","France","Europe","TEST V10","TEST Paris",48.8566,2.3522,"SAISIE FICTIVE — TEST V10"
"ZZ-902","2026-09-02","Espagne","Europe","TEST V10","TEST Barcelone",41.3851,2.1734,"SAISIE FICTIVE — TEST V10"
"ZZ-903","2026-09-03","Italie","Europe","TEST V10","TEST Sardaigne",40.1209,9.0129,"SAISIE FICTIVE — TEST V10"
"ZZ-904","2026-09-04","Vietnam","Asie","TEST V10","TEST Da Nang",16.0544,108.2022,"SAISIE FICTIVE — TEST V10"
"ZZ-905","2026-09-05","Australie","Océanie","TEST V10","TEST Sydney",-33.8688,151.2093,"SAISIE FICTIVE — TEST V10"
"ZZ-906","2026-09-06","Japon","Asie","TEST V10","TEST Okinawa",26.2124,127.6809,"SAISIE FICTIVE — TEST V10"
"ZZ-907","2026-09-07","Maroc","Afrique","TEST V10","TEST Agadir",30.4278,-9.5981,"SAISIE FICTIVE — TEST V10"
"ZZ-908","2026-09-08","États-Unis","Amérique du Nord","TEST V10","TEST Miami",25.7617,-80.1918,"SAISIE FICTIVE — TEST V10"
"ZZ-909","2026-09-09","Brésil","Amérique du Sud","TEST V10","TEST Rio",-22.9068,-43.1729,"SAISIE FICTIVE — TEST V10"
"ZZ-910","2026-09-10","Thaïlande","Asie","TEST V10","TEST Phuket",7.8804,98.3923,"SAISIE FICTIVE — TEST V10"
